,code,name,rate_diff
0,033780,KT&G;,0.5609
1,015760,한국전력,0.7283
2,051900,LG생활건강,0.7355
3,000120,CJ대한통운,0.8322
4,030200,KT,0.8857
5,105560,KB금융,0.956
6,003550,LG,0.9909
7,017670,SK텔레콤,1.0172
8,007070,GS리테일,1.0376
9,000270,기아차,1.0711
10,010950,S-Oil,1.1399
11,005490,POSCO,1.1651
12,000720,현대건설,1.2016
13,016360,삼성증권,1.2426
14,066570,LG전자,1.2525
15,034730,SK,1.2642
16,036460,한국가스공사,1.3027
17,012330,현대모비스,1.3154
18,005930,삼성전자,1.3158
19,036570,엔씨소프트,1.3789
20,008770,호텔신라,1.3912
21,139480,이마트,1.4052
22,011070,LG이노텍,1.4288
23,316140,우리금융지주,1.5374
24,090430,아모레퍼시픽,1.5549
25,039490,키움증권,1.5799
26,005940,NH투자증권,1.5941
27,035250,강원랜드,1.6174
28,006400,삼성SDI,1.6727
29,128940,한미약품,1.7018
30,005830,DB손해보험,1.7513
31,012750,에스원,1.7619
32,005380,현대차,1.8038
33,051910,LG화학,1.8613
34,326030,SK바이오팜,1.8757
35,006280,녹십자,1.8834
36,021240,코웨이,1.9285
37,161390,한국타이어앤테크놀로지,1.9308
38,000810,삼성화재,1.9909999999999999
39,010130,고려아연,1.9924
40,009150,삼성전기,2.0167
41,011790,SKC,2.0989
42,011170,롯데케미칼,2.1262
43,097950,CJ제일제당,2.1694
44,018260,삼성에스디에스,2.2848
45,003670,포스코케미칼,2.2884
46,001040,CJ,2.2999
47,081660,휠라홀딩스,2.3337
48,000990,DB하이텍,2.4475
49,207940,삼성바이오로직스,2.5889
50,000100,유한양행,2.6191
51,096770,SK이노베이션,2.6354
52,251270,넷마블,2.6851
53,032640,LG유플러스,2.767
54,003490,대한항공,2.8091
55,267250,현대중공업지주,2.822
56,024110,기업은행,2.9252
57,009830,한화솔루션,2.9547
58,034220,LG디스플레이,3.0322
59,002790,아모레G,3.1725
60,028260,삼성물산,3.236
61,204320,만도,3.3064
62,009540,한국조선해양,3.3397
63,086280,현대글로비스,3.4927
64,000210,대림산업,3.5834
65,029780,삼성카드,3.585
66,086790,하나금융지주,3.7234
67,003090,대웅,3.7912
68,078930,GS,3.7988
69,035420,NAVER,3.8724
70,023530,롯데쇼핑,3.9061
71,352820,빅히트,4.4186
72,336260,두산퓨얼셀,4.8673
73,008930,한미사이언스,4.9651
74,071050,한국금융지주,5.1253
75,271560,오리온,5.2455
76,112610,씨에스윈드,5.6552
77,011780,금호석유,5.7203
78,006360,GS건설,5.8709
79,011200,HMM,5.9547
80,004990,롯데지주,6.6522
81,018880,한온시스템,6.9559
82,047810,한국항공우주,7.0208
83,068270,셀트리온,7.3025
84,180640,한진칼,7.5358
85,000660,SK하이닉스,8.8552
86,035720,카카오,9.0138
87,026960,동서,10.37
88,055550,신한지주,12.2759
89,010140,삼성중공업,15.082
90,032830,삼성생명,15.3626
91,034020,두산중공업,15.4475
92,241560,두산밥캣,15.7451
93,042660,대우조선해양,16.5365
94,004020,현대제철,20.1072
95,285130,SK케미칼,22.8178
96,006800,미래에셋대우,23.4113
97,020150,일진머티리얼즈,28.9907
98,003410,쌍용양회,39.0252
99,019170,신풍제약,68.3793
